Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
1954.12.11,11-Dec-54,1954,Unprovoked,AUSTRALIA,Victoria,Swimming,M,23,FATAL,Y,11h00,,
1954.12.09,9-Dec-54,1954,Unprovoked,PAPUA NEW GUINEA,Central Province,Swimming near canoe,M,,"FATAL, abdomen & thigh bitten",Y,13h20,,
1954.12.04,4-Dec-54,1954,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,16,Shallow lacerations on torso,N,11h00,,
1954.11.20,20-Nov-54,1954,Unprovoked,USA,Wake Island,Spearfishing,M,,Shoulder bitten,N,15h00,"Blacktip reef shark, 1.5 m [5'] ",
1954.10.07,7-Oct-54,1954,Sea Disaster,USA,Virginia,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a man's leg & another reported that the second cook was killed by a shark,Y,,,
1954.10.06,6-Oct-54,1954,Provoked,UNITED KINGDOM,Isle of Man,Fishing  (trawling),M,62,Arm broken by tail of netted shark PROVOKED INCIDENT,N,,20' shark,
1954.10.02.b,2-Oct-54,1954,Boating,CROATIA,Zadar County,Boating,,,No details,UNKNOWN,,"White shark, 5.5 m [18']",
1954.10.02.a,2-Oct-54,1954,Invalid,JAPAN,Nagasaki Prefecture,,M,13,Body found in gut of 2000-lb white shark,,,Shark involvement prior to death was not confirmed,
1954.09.21,21-Sep-54,1954,Unprovoked,USA,California,Swimming,M,35,Minor bruises & abrasions on leg,N,,1.5 m [5'] shark,
1954.09.15,15-Sep-54,1954,Unprovoked,HONG KONG,,Swimming,M,20,"FATAL, leg severely bitten",Y,,,
1954.09.04,4-Sep-54,1954,Unprovoked,AUSTRALIA,Torres Strait,"Spearfishing, hunting crayfish",M,35,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y,,9' shark,
1954.08.19,19955,1954,Unprovoked,ITALY,Liguaria,Spearfishing,M,27,Abdomen injured,N,,,
1954.08.12.b,12-Aug-54,1954,Provoked,CUBA,Guantanamo Province,Spearfishing,M,,Knee bitten by shark that his dive buddy had shot  PROVOKED INCIDENT,N,,"Nurse shark, 58"", 34-lb ",
1954.08.12.a,12-Aug-54,1954,Provoked,CUBA,Guantanamo Province,Spearfishing,M,,Right thigh & left calf injured by speared shark  PROVOKED INCIDENT,N,,"Nurse shark, 58"", 34-lb ",
1954.07.30,30-Jul-54,1954,Unprovoked,ECUADOR,Galapagos Islands,"Tuna fishing, standing on stern platform that was submerged by waves",M,34,4 lacerations on dorsum of right foot ,N,,,
1954.07.28,28-Jul-54,1954,Unprovoked,SINGAPORE,,Closed circuit diving (submerged). Diving to recover jettisoned packets of opium for police,M,28,"FATAL, abdomen, buttock, right thigh & hands bitten ",Y,,,
1954.07.27,27-Jul-54,1954,Boating,ITALY,Venice Province,Fishing trawler Flavio Gioia ,M,,No injury to occupants. Shark tore nets & trawl and struck boat repeatedly,,Night,5m shark,
1954.07.15,15-Jul-54,1954,Unprovoked,THE BALKANS,Slovenia,Swimming,M,,FATAL,Y,21h00,,
1954.07.04.R,Reported 04-Jul-1954,1954,Unprovoked,USA,Florida,,,,Small wound on upper thigh,N,,"Nurse shark, 2.5' ",
1954.07.03,3-Jul-54,1954,Unprovoked,BERMUDA,South shore ,Swimming,M,22,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",N,,"2.4 m [8'] shark, possibly a dusky shark",
1954.07.02.R,Reported 02-Jul-1954,1954,Unprovoked,GREECE,,Swimming,M,,FATAL,Y,,,
1954.07.01.R,Reported 01-Jul-1954,1954,Invalid,CROATIA,,,,,Human remains found in shark,,,Shark involvement prior to death was not confirmed,
1954.06.29,29-Jun-54,1954,Provoked,USA,California,Grabbed shark & threw it on deck,M,35,Right elbow & forearm lacerated  PROVOKED INCIDENT,N,,,
1954.06.27,27-Jun-54,1954,Unprovoked,AUSTRALIA,Queensland,Pearl diving from lugger Whyalla,M,30,"Shark bit right arm & shoulder, then Aken says, he ""knocked out"" the shark",N,16h30,2.4 m [8']  shark,
1954.06.00,Jun-54,1954,Unprovoked,HONG KONG,,Bathing alongside ship,M,,"FATAL, thigh bitten ",Y,,,
1954.05.26.R,Reported 26-May-1954,1954,Unprovoked,PAPUA NEW GUINEA,East Sepik,"Fishing / cleaning fish, dived into water to retrieve a lost fish",M,,"FATAL, decapitated ",Y,,,
1954.05.00,May-54,1954,Unprovoked,PAPUA NEW GUINEA,Madang Province,,,,Foot severed,N,,,
1954.04.08,8-Apr-54,1954,Invalid,USA,Hawaii,Fishing from shore,M,,"Body recovered, mutilated by shark/s",,,Shark involvement prior to death was not confirmed,
1954.04.00,Apr-54,1954,Provoked,SUDAN?,Red Sea,Spearfishing,M,,"Speared small shark, shark bit his thigh and/or buttock PROVOKED INCIDENT",N,,,
1954.02.27,27-Feb-54,1954,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,23,"FATAL, right thigh bitten ",Y,17h15,,
1954.01.30,30-Jan-54,1954,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,,Abrasions to arm,N,,,
1954.01.22.b,22-Jan-54,1954,Unprovoked,AUSTRALIA,Torres Strait,Spearfishing,M,30,Severe laceration to arm,N,,,
1954.01.22.a,22-Jan-54,1954,Unprovoked,ARGENTINA,Buenos Aires Province,Floating,M,18,"Arm & left calf bitten, right leg lacerated",N,13h05,White shark tooth fragment recovered from ankle & identified by Dr. W. I. Follett,
1954.01.15,15-Jan-54,1954,Unprovoked,PAPUA NEW GUINEA,Madang Province,Crouching in the water,M,26,Back & thighs lacerated,N,Late afternoon,14' shark,
1954.00.00.e,1954,1954,Unprovoked,IRAN,Karun River,,M,,FATAL,Y,,Bull shark suspected due to freshwater habitat,
1954.00.00.d,1954,1954,Unprovoked,MARTINIQUE,,,M,,"Chest bruised, after shark clamped its jaws on his chest ",N,,"Nurse shark, 1.8 m [6'] ",
1954.00.00.c,1954,1954,Unprovoked,MEXICO,Baja California,Free diving,M,,FATAL,Y,,,
1954.00.00.b,1954,1954,Unprovoked,USA,Hawaii,Fishing,M,,Bitten on foot,N,,a small shark',
1954.00.00.a,1954,1954,Unprovoked,PAPUA NEW GUINEA,West New Britain Province,Swimming,M,12,Leg & abdomen lacerated,N,,,
1954.00.00 g,1954 (same day as  1954.00.00.f),1954,Unprovoked,IRAN,Karun River,,F,,FATAL,Y,,Bull shark suspected due to freshwater habitat,
1954.00.00 f,1954 (same day as  1954.00.00.f),1954,Unprovoked,IRAN,Karun River,,M,,Survived,N,,Bull shark suspected due to freshwater habitat,
1953.12.30,30-Dec-53,1953,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,F,,Left calf lacerated,N,Morning,Said to involve a >4 m [13'] shark,
1953.12.22,22-Dec-53,1953,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,23,Lacerations to arm,N,,,
1953.12.13,13-Dec-53,1953,Unprovoked,AUSTRALIA,Queensland,Swimming or wading out  to warn bathers that a shark had been seen,M,16,Bruised shoulder chest & foot,N,12h00,,
1953.12.00,Dec-53,1953,Unprovoked,AUSTRALIA,New South Wales,Surf skiing,M,,"No Injury, shark charged surfski",N,,3.7 [12'] shark,
1953.10.00,Oct-53,1953,Provoked,AUSTRALIA,New South Wales,,M,,"Hit by tail of speared shark, fell & hit head on rock & out cold for 30 minutes  PROVOKED INCIDENT",N,,,
1953.09.27,27-Sep-53,1953,Unprovoked,PHILIPPINES,Luzon Island,,M,23,FATAL,Y,,,
1953.09.20.R,Reported 20-Sep-1953,1953,Unprovoked,USA,California,Scuba diving,M,,No injury,N,,,
1953.09.18,18-Sep-53,1953,Sea Disaster,USA,Georgia,Aircaft exploded,M,,Hand bitten,N,,,
1953.09.03.R,Reported 03-Sep-1953,1953,Unprovoked,USA,New York,Surf fishing,M,15,Laceration to right lower leg,N,,80-lb sand shark,
1953.09.02,2-Sep-53,1953,Unprovoked,USA,Hawaii,Crabbing,M,,Leg & foot bitten,N,,"Hammerhead shark, 1.5 m [5'] ",
1953.08.00,Aug-53,1953,Invalid,MEXICO,Guerrero,Free diving,M,19,No injury,,17h30,Invalid,
1953.07.31,31-Jul-53,1953,Unprovoked,MEXICO,Colima,Wading,F,18,FATAL,Y,,,
1953.07.26,26-Jul-53,1953,Unprovoked,USA,Hawaii,Spearfishing,M,15,"FATAL, thigh bitten",Y,09h15,3 m [10'] shark seen in vicinity,
1953.07.16,16-Jul-53,1953,Provoked,USA,California,Fishing from market fishboat Sea Spray,M,,Arm bitten by hooked shark PROVOKED INCIDENT,N,,,
1953.07.15,15-Jul-53,1953,Unprovoked,USA,Florida,Standing,F,26,Lower left leg severely bitten,N,,,
1953.07.11,11-Jul-53,1953,Sea Disaster,PACIFIC OCEAN,330 to 350 miles east of Wake Island,Royal Hawaiian skymaster DC-6B aircraft went down with  58 passenger & crew,,,Recuers fought sharks for the bodies,N,,,
1953.07.09,9-Jul-53,1953,Boating,CANADA,Nova Scotia,Fishing for lobsters,M,,Burns drowned as result of attack on boat,N,,"White shark, 3.7 m [12'], 500 to 500-kg [1,200 lb], identified by W. C. Shroeder based on tooth fragment ebedded in gunwale",
1953.07.04,4-Jul-53,1953,Unprovoked,USA,Hawaii,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,M,,"Shark made 3 passes at him, lacerating his calf, shin and ankle ",N,08h00,,
1953.07.00,1-Jul-53,1953,Unprovoked,PANAMA,Gulf of Panama,Retrieving bait box that had fallen overboard,M,19,Hand severely bitten,N,,,
1953.06.00,Jun-53,1953,Provoked,AUSTRALIA,Queensland,Landing hooked shark in boat,M,,Right forearm & hand bitten PROVOKED INCIDENT,N,,"2 m [6'9""] shark ",
1953.04.07,7-Apr-53,1953,Boating,AUSTRALIA,New South Wales,,,,"No injury to occupant. As engine started, shark hit boat, breaking one of boat's ribs in 3 places & stoving in 2 planks",N,,,
1953.04.04,4-Apr-53,1953,Unprovoked,USA,Texas,Swimming,F,19,Lacerations to right foot,N,Afternoon,,
1953.04.00.b,Apr-53,1953,Unprovoked,IRAN,Karun River,,M,,Arm severed,N,,"1.5 m [5'] shark, probable bull shark",
1953.04.00.a,Apr-53,1953,Unprovoked,IRAN,Karun River,Swimming in midriver near sewage outlet & 400 m from a slaughterhouse,M,,Right forearm severed at the elbow,N,,"1.5 m [5'] shark, probable bull shark",
1953.03.22,Mar-53,1953,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,23,Arm lacerated,N,,,
1953.03.19.R,Reported 19-Mar-1953,1953,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,,Abrasion,N,,8' shark,
1953.03.00.c,Mar-53,1953,Sea Disaster,INDIAN OCEAN,,Adrift on a 4'  raft for 32 days,,,Sharks attacked raft & consumed the body of Ericsson after he died,Y,,,
1953.03.00.a,Mar-53,1953,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Went over side of boat at trochus ground,M,,"FATAL, arm & leg severed & shark smashed at his body with its tail  ",Y,,Tiger shark,
1953.02.18,18-Feb-53,1953,Provoked,USA,Hawaii,Bitten while cutting shark from net,M,,Hand bitten  PROVOKED INCIDENT  ,N,,,
1953.02.15,15-Feb-53,1953,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,25,"Shark tore off face mask, diver's face, nose & chin lacerated",N,18h00,Wobbegong shark,
1953.02.00,Feb-53,1953,Unprovoked,AUSTRALIA,,Spearfishing,M,,Foot bitten,N,,Wobbegong shark,
1953.01.20,20-Jan-53,1953,Provoked,AUSTRALIA,South Australia,Fishing,M,61,Finger bitten by hooked shark PROVOKED INCIDENT,N,,,
1953.01.08,8-Jan-53,1953,Boating,AUSTRALIA,Tasmania,Fishing,,MAKE LINE GREEN,"No injury to occupant, shark charged boat",N,Afternoon,10' to 12' shark,
1953.00.00.c,1953,1953,Unprovoked,AUSTRALIA,,Spearfishing,M,,Kneecap bitten,N,,Wobbegong shark,
1953.00.00.b,1953,1953,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Washing,M,,"FATAL, torso bitten",Y,,,
1953.00.00.a,1953,1953,Unprovoked,USA,Florida,Standing,F,,Leg lacerated thigh to ankle,N,,,
1952.12.24,24-Dec-52,1952,Unprovoked,AUSTRALIA,Victoria,Lying prone on surfboard,M,,"No injury, board bumped by shark",N,,,
1952.12.21,21-Dec-52,1952,Unprovoked,AUSTRALIA,South Australia,"Fishing, setting nets",M,25,Bitten on thigh and buttocks,N,"""After dark""",2.4 m [8'] shark,
1952.12.14,14-Dec-62,1952,Invalid,GUATEMALA,,Air Disaster,F,,It is probable that all onboard (2 men & 2 women) died when the plane crashed into the sea & her body was scavenged by a shark,,,Shark involvement prior to death was not confirmed,
1952.08.04,4-Aug-52,1952,Provoked,ITALY,Genoa  Province,Fishing,M,17,Bitten by hooked shark                      PROVOKED INCIDENT,N,,200-lb shark,
1952.08.03,3-Aug-52,1952,Unprovoked,USA,Hawaii,Swimming,M,,"FATAL, disappeared while swimming, shark bite found on right side of body",Y,,,
1952.12.07,7-Dec-52,1952,Unprovoked,USA,California,Body surfing & treading water,M,17,"FATAL, leg lacerated  ",Y,14h00,"White shark,4.6 m [15'] ",
1952.12.03,3-Dec-52,1952,Unprovoked,USA,Hawaii,Swimming from fishing boat setting nets,M,40,"FATAL, left arm severed below the elbow ",Y,,>6.7 m [22']  shark,
1952.10.12,12-Oct-52,1952,Unprovoked,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Fishing,M,,Right thigh bitten ,N,,,
1952.08.06,6-Aug-52,1952,Invalid,SOUTH AFRICA,Eastern Cape Province,,M,18,"Possibly drowned, remains recovered days later in gut of  113-kg [249-lb]  female Zambesi shark ",,,Shark involvement prior to death was not confirmed,
1952.08.05,5-Aug-52,1952,Provoked,ITALY,Teramo,Fishing,,19,Multiple injuries PROVOKED INCIDENT,Y,02h00,2m shark,
1952.07.27.d,27-Jul-52,1952,Boating,USA,Florida,Fishing for trout ,,,No injury to occupants. Shark chasing fish leapt into skiff & flopped out,N,,"Hammerhead shark, 5' ",
1952.07.27.c,27-Jul-52,1952,Provoked,USA,South Carolina,Fishing,M,43,Finger bitten by hooked shark PROVOKED INCIDENT,N,,a small shark',
1952.07.27.b,27-Jul-52,1952,Provoked,USA,South Carolina,Fishing,M,34,Thumb bitten by hooked shark PROVOKED INCIDENT,N,,a small shark',
1952.07.27.a,27-Jul-52,1952,Sea Disaster,USA,California,Boat exploded,M,,FATAL & some of the survivors were bitten by sharks  ,Y,,,
1952.07.13,13-Jul-52,1952,Provoked,USA,California,Fishing,M,34,Part of hand removed by shark he had caught PROVOKED INCIDENT,N,,,
1952.07.05,5-Jul-52,1952,Unprovoked,USA,Puerto Rico,"Spearfishing, carrying fish on spear",M,,Leg lacerated & bone fractured ,N,11h00,"Tiger shark, 1.5 m [5'] ",
1952.05.27,27-May-52,1952,Unprovoked,USA,California,Swimming on surface,M,,Foot & swimfin bitten,N,10h00 or 14h00,"White shark, 2 m to 4 m [6'9"" to 13'] ",
1952.05.07.R,Reported 07-May-1952,1952,Unprovoked,AUSTRALIA,Western Australia,"Fishing, standing in water washing fish",M,,Lacerations to 2 fingers & knuckles abraded,N,,"Carpet shark, 5' ",
1952.05.00,May-52,1952,Unprovoked,INDIA,,"Fishing, standing in water next to purse net",M,,Lower leg lacerated,N,,"""A 2' (0.6 m) brown shark""",
1952.04.06,6-Apr-52,1952,Boating,AUSTRALIA,South Australia,Fishing for white sharks,,,No injury to fisherman Alf Dean & other occupants;,N,Morning,"White shark, 15'3"", 2,333-lb ",
1952.04.00,Apr-52,1952,Provoked,SUDAN,Red Sea State,Spearfishing,M,,Right forearm lacerated by speared shark PROVOKED INCIDENT,N,P.M.,"a ""small slim brown shark""",
1952.03.30,30-Mar-52,1952,Unprovoked,NETHERLANDS ANTILLES,Curacao,Went to aid of child being menaced by the shark,M,,"Buttock bitten, tissue removed",N,,"Bull shark, 2.7 m [9'] was captured & dragged on the sand where tissue taken from Eggink was found in its gut. Species identification  was made by S. Springer based on 4 photographs of the shark. ",Teramo
1952.01.23,23-Jan-52,1952,Provoked,MAURITIUS,Port Louis Province,"Spearfishing, speared a small shark",M,,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,N,,,
1952.01.07,7-Jan-52,1952,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,,Bitten on left calf and ankle,N,,8' shark,
1952.00.00.e,1952-1954,1952,Unprovoked,LIBERIA,Montserrado,"Diving, recovering fish killed by dynamite",M,,FATAL,Y,,,
1952.00.00.d,1952,1952,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Spearfishing,M,,"Arm bitten, surgically amputated",N,,,
1952.00.00.c,1952,1952,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Spearfishing,M,,"FATAL,  ""No remains""",Y,,"""Attacked by a number of sharks""",
1952.00.00.b,1952,1952,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Spearfishing,M,27,"FATAL, lower abdomen removed ",Y,,,
1952.00.00.a,1952,1952,Unprovoked,USA,Florida,Swimming,M,,"FATAL, groin bitten ",Y,,,
1951.12.21,21-Dec-51,1951,Unprovoked,MOZAMBIQUE,Bay of Maputu,Swimming,M,15,"FATAL, right leg, thighs & hands bitten  ",Y,,,
1951.12.16,16-Dec-51,1951,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,18,Speared shark lacerated left leg above ankle  PROVOKED INCIDENT,N,,"Wobbegong shark, 1.8 m [6'] ",
1851.12.15.R,"
1951.12.15.R",1951,Invalid,MOZAMBIQUE,Sofala Province,Swimming,M,,No injury,,,Invalid,
1951.12.06,6-Dec-51,1951,Unprovoked,AUSTRALIA,New South Wales,Treading water,M,21,FATAL,Y,16h00,2.4 m [8']  shark,
1951.11.29,29-Nov-51,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,23,Thigh bruised & abraded,N,13h00,"White shark, 1.8 m [6'] ",
1951.11.28.b,28-Nov-51,1951,Unprovoked,JAMAICA,Kingston Parish,Fishing,M,81,Lacerations to left hand,N,,,
1951.11.28.a,28-Nov-51,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,24,"Leg severed below knee, defense wounds on hand",N,17h15,"White shark, 2.4 m [8'] ",
1951.11.23.R,Reported 23-Nov-1951,1951,Unprovoked,PHILIPPINES,,Shipwrecked; adrift on raft for 2 days & 2 nights,M,,"FATAL, two men survived, one succumbed to shark bite & exhaustion",Y,,,
1951.10.22,22-Oct-51,1951,Unprovoked,AUSTRALIA,Queensland,Swimming,M,42,"FATAL, leg severed, shark dragged him through hole in protective net",Y,19h10,,
1951.10.05,5-Oct-51,1951,Invalid,NORTH ATLANTIC OCEAN,South Carolina,cargo ship Southern Isle sank at 04h00,,,Sharks fed on bodies of the drowned,,,Shark involvement prior to death was not confirmed,
1951.09.29,29-Sep-51,1951,Unprovoked,ITALY,Salerno,Swimming,F,21,FATAL,Y,,,
1951.09.03.R,Reported 03-Sep-1951,1951,Unprovoked,ITALY,Salerno Province,Fishing for squid,M,,3 fingers severed when he used his hand as bait,N,Night,,
1951.09.02-R,Reported 02-Sep-1951,1951,Unprovoked,AUSTRALIA,Queensland,"Body found on deserted luxury yacht, 38' Christine",M,56,"FATAL, abdominal wounds & right leg severed at the hip  ",Y,,,
1951.08.17.b,17-Aug-51,1951,Unprovoked,GREECE,Corfu Island,Swimming,M,18,Injured but survived,N,,White shark,
1951.08.17.a,17-Aug-51,1951,Unprovoked,GREECE,Corfu Island,Swimming,F,16,"FATAL, body not recovered Another man was also injured by the shark at same time (see below)",Y,,White shark,
1951.08.16.R,Reported 16-Aug-1951,1951,Unprovoked,ITALY,Taranto,Diving (Hookah),M,,No injury,N,,,
1951.08.00,Between 01-Aug-1951 & 08-Aug-1951,1951,Unprovoked,COLUMBIA,Caribbean Sea,Bathing,,,FATAL,Y,,,
1951.07.19.R,Reported 19-Jul-1951,1951,Unprovoked,USA,California,,M,13,Severe laceration to foot,N,,,
1951.07.11,11-Jul-51,1951,Unprovoked,PACIFIC OCEAN,,Fell overboard,M,40,"""Molested by shark that nibbled his bare feet"",  rescued 30 hours later.",N,Afternoon,2.1 m [7'] shark,
1951.06.25,25-Jun-51,1951,Unprovoked,USA,Hawaii,Swept out to sea while fishing,M,,"FATAL, victim seen in shark's mouth",Y,,,
1951.06.00,Jun-51,1951,Unprovoked,FRENCH POLYNESIA,Tuamotus,Spearfishing,M,39,Right thumb bitten,N,11h00,,
1951.05.22,22-May-51,1951,Unprovoked,MEXICO,,Free diving,M,16,Lower leg severely injured,N,15h00,,
1951.05.09.R,Reported 09-May-1951,1951,Provoked,ITALY,Naples Province,,,,3 men knocked to ground by harpooned shark PROVOKED INCIDENT,N,,,
1951.03.26,26-Mar-51,1951,Provoked,AUSTRALIA,New South Wales,Fell off surf ski,M,23,Minor laceration to chest when he grabbed the shark by its tail PROVOKED INCIDENT,N,Afternoon,"Wobbegong shark, 4'",
1951.03.24,24-Mar-51,1951,Unprovoked,AUSTRALIA,New South Wales,"Fishing, casting in the surf",M,"""young""",Severe lacerations of chest & thigh,N,,5.5 m [18'] shark,
1951.03.15,15-Mar-51,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,M,19,Left foot lacerated,N,12h00,,
1951.02.19,19-Feb-51,1951,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body surfing,M,31,"Leg bitten, defense wounds on hands",N,12h15,136-kg [300-lb] shark,
1951.02.03,3-Feb-51,1951,Unprovoked,AUSTRALIA,New South Wales,Spearfishing (but treading water on the surface),M,20,Shark's fin caused abrasion on his chest,N,,,
1951.02.01,1-Feb-51,1951,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,14,Leg bitten,N,,1.2 m [4'] shark,
1951.01.21,21-Jan-51,1951,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,19,"FATAL, right thigh bitten, leg severed at knee",Y,16h25,,
1951.01.03,3-Jan-51,1951,Invalid,AUSTRALIA,New South Wales,,M,,Body found after a week in the water apparently bitten by shark/s,,,Shark involvement prior to death was not confirmed,
1951.00.00,1951,1951,Unprovoked,NEW GUINEA,Madang Province,,,,FATAL,Y,,,
1950.12.31,31-Dec-50,1950,Unprovoked,AUSTRALIA,Queensland,Paddling a surfboat,M,19,"No injury, shark bit oar",N,,"Nurse shark, 10' ",
1950.12.19.R,Reported 19-Dec-1950,1950,Unprovoked,AUSTRALIA,New South Wales,Swimming,,,Legs nipped,N,,"Wobbegong shark, 6'",
1950.12.16,16-Dec-50,1950,Unprovoked,AUSTRALIA,Queensland,Treading water,M,20,"FATAL, lower abdomen severely bitten & his left leg was severed",Y,16h15,,
1950.11.29,29-Nov-50,1950,Provoked,AUSTRALIA,Northern Territory,Diving ,M,17,"Minor injury to hand and groin from shark ""caught on his fishing spear"" PROVOKED INCIDENT",N,,2' shark,
1950.11.25,25-Nov-50,1950,Unprovoked,AUSTRALIA,Queensland,Body surfing,M,21,Part of buttocks & fingers severed,N,17h15,"White shark, 3m, seen in area and hooked 3 days later",
1950.11.12,12-Nov-50,1950,Boating,AUSTRALIA,Queensland,Paddling a canoe,M,18,"No injury to occupants, shark holed canoet",N,,10' shark,
1950.10.08,28-Oct-50,1950,Unprovoked,USA,California,Body surfing / treading water,M,31,Right leg lacerated,N,12h00,White shark,
1950.10.04,4-Oct-50,1950,Unprovoked,AUSTRALIA,Queensland,Fishing,M,25,Lacerations to right thumb and knee,N,Night,4' shark,
1950.08.06,6-Aug-50,1950,Provoked,EL SALVADOR, La Libertad,Jerked overboard while pole fishing for tuna,M,27,Left thigh bitten by hooked shark PROVOKED INCIDENT,N,08h30,"1,100-lb shark",
1950.08.00,Aug-50,1950,Unprovoked,SAUDI ARABIA,Eastern Province,Diving,M,,Tissue stripped knee to foot,N,2 hrs before sunset,,
1950.07.27.R,Reported 27-Jul-1950,1950,Boating,AUSTRALIA,South Australia,Fishing,,,No injury to occupants,N,,17' white shark,
1950.07.21,21-Jul-50,1950,Unprovoked,JAPAN,Sago Prefecture,Swimming,M,19,FATAL,Y,P.M.,,
1950.07.19,1950.07.19,1950,Provoked,ITALY,Savona,Fishing,,,Harpooned shark bit his forehead PROVOKED INCIDENT,N,,,
1950.07.14,15-Jul-50,1950,Unprovoked,CUBA,Caribbean Sea,Swept off deck of S.S.Frontenac enroute from West Indies to US,M,30,Found at 21h30 by searchlight. Had been constantly harassed by sharks & had numerous lacerations,N,18h15 to 21h30,,
1950.07.10,10-Jul-50,1950,Unprovoked,USA,Texas,Swimming,M,11,Laceration to leg,N,,Hammerhead shark,
1950.07.09,9-Jul-50,1950,Invalid,USA,Texas,,M,,Human remains found in shark,,,Shark involvement prior to death was not confirmed,
1950.07.00,Jul-50,1950,Unprovoked,USA,Florida,"Goggle-diving for seaweeds, but standing in water",M,21,Shallow lacerations on back of right thigh,N,,0.7 m [2.5'] shark,
1950.06.25,25-Jun-50,1950,Unprovoked,USA,New York,Swimming ,M,16,"Gashes & lacerations on legs, foot lacerated.",N,,"""sand shark""",
1950.06.06,6-Jun-50,1950,Sea Disaster,USA,Florida,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,M,25,"FATAL, bitten five times. Other survivors fought off sharks for 10 hours. One survivor's arm severed by a shark.",Y,09h00,,
1950.05.24,24-May-50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,27,Left foot bitten,N,10h30,,
1950.05.01,1-May-50,1950,Boating,ITALY,Tyrrhenian Sea,Fishing on a boat,M,,No injury,N,,"unknown, possibly a white shark",
1950.04.09.b,9-Apr-50,1950,Sea Disaster,AUSTRALIA,Queensland,"Sea Disaster, sinking of the fishing  launch Mavis",M,50,FATAL,Y,,,
1950.04.09.a,9-Apr-50,1950,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Fishing, sitting in stern of small boat, feet dangling in the water",M,,"Shark bit foot, removing 2 toes",N,,2.13 m shark,
1950.03.26,26-Mar-50,1950,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Wading,M,,"Ankle & foot lacerated, defense wounds on hand",N,Midday,"1.5 m to 1.8 m [5' to 6'] ""spear-eye"" shark ",
1950.03.08,8-Mar-50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Lifesaving drill,M,20,FATAL,Y,18h50,,
1950.03.01,1-Mar-50,1950,Invalid,AUSTRALIA,Western Australia,Suicide,M,,"Szot's right hand found in a 4.5' [14.5'] tiger shark caught 3/9/1950 at Safety Bay, south of Freemantle. His body, with bullet wound in head & right hand missing, washed shore - an apparent suicide",,,Invalid,
1950.02.18.R,Reported 18-Feb-1950,1950,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,,Minor injury to leg,N,,small carpet shark,
1950.02.11,11-Feb-50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,M,14,"FATAL, body not recovered ",Y,14h30,"White shark, 3.7 m [12']  according to witnesses",
1950.01.16,16-Jan-50,1950,Invalid,USA,Hawaii,"Fishing, one of three fishermen swept into the sea by a large wave ",M,,"His remains were recovered from a ""huge shark"" caught 3 days later. The remains of another fisherman, Harold Fujimoto, were recovered, but the body of the third fisherman, Hideo Tamura, was never found",,Night,Shark involvement prior to death was not confirmed,
1950.01.12.R,Reported 12-Jan-1950,1950,Unprovoked,AUSTRALIA,Victoria,Swimming,M,,3 lacerations to heel,N,,,
